2006-1
bundesregier,deutsch,deutschland,land,mensch,euro,europa,ausschuss,staatssekretar,antrag
468,423,405,350,328,318,306,291,283,281


2010-3
euro,deutschland,antrag,land,europa,bundesregier,mensch,polit,haushalt,million
1687,1027,1020,1000,913,902,883,842,825,784


2010-4
europa,bundesregier,antrag,deutschland,mensch,land,deutsch,euro,polit,hoh
499,351,324,319,307,306,298,287,227,198


2010-5
europa,land,deutschland,antrag,bundesregier,euro,mensch,deutsch,fraktion,polit
1140,689,666,665,649,641,629,560,480,462


2010-6
europa,land,bundesregier,antrag,euro,ausschuss,fraktion,mensch,deutschland,deutsch
765,755,737,732,633,605,593,582,552,523


2010-7
europa,deutsch,antrag,bundesregier,deutschland,land,euro,fraktion,mensch,polit
741,727,713,690,673,591,549,517,508,460


2010-8
kein Wort wurde mehr als 0 mal gesagt
0


2010-9
euro,land,haushalt,mensch,deutschland,polit,milliard,bundesregier,deutsch,million
1268,760,658,643,630,610,590,521,510,506


2010-10
antrag,deutschland,mensch,euro,land,bundesregier,fraktion,deutsch,gesetz,ausschuss
822,768,728,692,681,661,657,580,558,554


2010-11
euro,land,mensch,deutschland,polit,haushalt,europa,bundesregier,million,grun
1215,959,809,789,723,644,642,634,631,549


2010-12
land,europa,bundesregier,deutschland,mensch,deutsch,antrag,fraktion,euro,gesetz
1007,980,876,857,828,794,764,645,537,529


2011-1
bundesregier,deutschland,mensch,land,deutsch,afghanistan,polit,europa,antrag,entscheid
573,570,520,483,427,405,404,384,327,268


2011-2
antrag,mensch,land,deutschland,europa,bundesregier,deutsch,frau,gesetz,link
884,790,738,702,664,651,614,602,597,538


2011-3
europa,antrag,deutschland,deutsch,bundesregier,land,mensch,fraktion,grun,gesetz
796,784,754,739,737,724,702,595,472,441


2011-4
mensch,bundesregier,antrag,europa,deutschland,land,deutsch,gesetz,ausschuss,frau
741,722,707,677,640,631,585,496,474,462


2011-5
europa,bundesregier,deutschland,antrag,mensch,deutsch,fraktion,land,link,ausschuss
798,689,600,577,573,566,531,526,420,376


2011-6
antrag,deutschland,deutsch,bundesregier,land,europa,fraktion,ausschuss,euro,grun
924,809,794,762,723,695,691,661,533,525


2011-7
mensch,antrag,bundesregier,deutschland,land,deutsch,kind,fraktion,gesetzentwurf,entscheid
819,791,678,626,568,493,488,460,416,395


2011-8
kein Wort wurde mehr als 0 mal gesagt
0


2011-9
euro,land,europa,deutschland,mensch,bundesregier,deutsch,polit,gesetz,million
1384,1345,1320,1287,1239,1095,1033,862,710,678


2011-10
bundesregier,antrag,land,deutschland,deutsch,mensch,europa,fraktion,gesetz,link
619,560,526,491,422,421,390,351,337,320


2011-11
euro,deutschland,europa,land,mensch,bundesregier,antrag,deutsch,milliard,polit
1410,1139,1117,1056,1004,788,772,760,728,688


2011-12
europa,mensch,bundesregier,deutschland,deutsch,land,antrag,polit,fraktion,ausschuss
1201,860,781,760,758,751,707,643,612,525


2012-1
deutschland,antrag,land,mensch,bundesregier,deutsch,fraktion,link,polit,ausschuss
673,669,626,608,534,496,484,463,396,379


2012-2
bundesregier,deutschland,europa,land,deutsch,polit,wirtschaft,antrag,mensch,fraktion
462,414,399,399,388,312,298,267,241,238


2012-3
antrag,deutschland,europa,land,bundesregier,mensch,deutsch,euro,gesetz,fraktion
1667,1575,1423,1403,1366,1254,1177,994,941,929


2012-4
antrag,bundesregier,land,deutschland,europa,mensch,deutsch,euro,ausschuss,fraktion
435,382,358,340,319,297,269,263,223,209


2012-5
europa,mensch,antrag,land,bundesregier,deutschland,polit,deutsch,fraktion,ausschuss
1069,956,952,913,837,805,656,652,552,520


2012-6
europa,antrag,deutschland,bundesregier,deutsch,land,mensch,gesetz,fraktion,euro
1180,1173,1087,983,850,822,806,713,656,580


2012-7
europa,bank,deutschland,deutsch,entscheid,antrag,land,staat,fraktion,kind
175,87,65,60,57,50,48,41,38,36


2012-8
kein Wort wurde mehr als 0 mal gesagt
0


2012-9
euro,land,deutschland,europa,milliard,mensch,haushalt,million,polit,bundesregier
1064,748,690,626,581,556,501,491,448,412


2012-10
europa,deutschland,bundesregier,land,antrag,gesetz,mensch,gesetzentwurf,deutsch,kind
1034,959,956,906,847,762,734,705,704,688


2012-11
euro,land,deutschland,antrag,mensch,bundesregier,fraktion,europa,deutsch,grun
1693,1580,1573,1484,1412,1349,1189,1127,1109,874


2012-12
bundesregier,deutschland,europa,fraktion,deutsch,antrag,land,link,gesetzentwurf,mensch
507,501,451,408,399,386,357,349,348,332


2013-1
deutschland,mensch,land,bundesregier,antrag,europa,deutsch,kind,fraktion,gesetz
793,773,759,753,751,713,599,540,493,477


2013-2
antrag,mensch,deutschland,land,bundesregier,europa,fraktion,gesetzentwurf,gesetz,ausschuss
870,864,847,840,836,723,692,663,626,569


2013-3
deutschland,bundesregier,land,euro,antrag,gesetz,deutsch,fraktion,europa,mensch
935,920,842,814,805,720,680,644,637,631


2013-4
antrag,deutschland,land,mensch,bundesregier,deutsch,fraktion,euro,gesetz,europa
1162,1086,1061,1060,930,816,745,727,727,695


2013-5
deutschland,bundesregier,europa,deutsch,gesetzentwurf,land,antrag,gesetz,fraktion,mensch
609,607,566,515,508,494,493,491,404,370


2013-6
antrag,deutschland,fraktion,deutsch,mensch,bundesregier,land,grun,euro,polit
1806,1549,1435,1418,1404,1374,1248,1038,986,954


2013-7
kein Wort wurde mehr als 0 mal gesagt
0


2013-8
kein Wort wurde mehr als 0 mal gesagt
0


2013-9
land,deutschland,euro,mensch,polit,deutsch,untersuchungsausschuss,minist,jahr,gemeinsam
159,146,100,98,81,79,79,71,70,66


2013-10
bundestag,deutsch,wahl,fraktion,prasident,parlament,legislaturperiod,sitzung,geschaftsordn,herrn
60,44,40,35,25,24,22,19,19,19


2013-11
europa,deutschland,land,deutsch,mensch,bundesregier,fraktion,bundestag,union,euro
438,264,259,246,237,195,160,143,137,136


2013-12
europa,ausschuss,land,deutschland,antrag,fraktion,deutsch,gemeinsam,polit,link
284,107,96,90,85,83,82,77,76,75


2014-1
europa,mensch,deutschland,land,deutsch,polit,gemeinsam,bundesregier,koalitionsvertrag,thema
1028,899,854,815,539,502,443,438,402,363


2014-2
land,mensch,deutschland,deutsch,bundesregier,fraktion,europa,antrag,polit,link
655,537,528,506,455,367,359,355,352,340


2014-3
europa,deutschland,bundesregier,antrag,land,deutsch,mensch,frau,wirtschaft,ukrain
765,621,533,508,506,502,468,411,375,335


2014-4
euro,land,mensch,deutschland,haushalt,milliard,europa,deutsch,million,polit
1228,1059,1042,868,723,706,598,584,583,503


2014-5
europa,mensch,land,deutschland,antrag,deutsch,bundesregier,unternehm,ausschuss,polit
988,712,646,641,507,476,464,387,386,385


2014-6
euro,land,mensch,deutschland,europa,haushalt,million,deutsch,polit,gesetz
1064,1015,959,946,932,735,677,608,530,487


2014-7
deutschland,mensch,gesetz,land,antrag,fraktion,gesetzentwurf,link,deutsch,bundesregier
448,436,368,355,342,326,303,289,284,243


2014-8
kein Wort wurde mehr als 0 mal gesagt
0


2014-9
land,euro,deutschland,europa,mensch,haushalt,million,deutsch,milliard,bundesregier
1134,1106,1028,920,877,681,615,573,560,544


2014-10
land,europa,deutschland,bundesregier,mensch,antrag,grun,deutsch,euro,gesetz
839,645,632,617,576,491,407,397,389,375


2014-11
mensch,land,deutschland,euro,europa,deutsch,bundesregier,million,link,gesetz
1248,1017,916,876,871,593,569,562,540,539


2014-12
deutschland,land,mensch,deutsch,europa,bundesregier,euro,grun,antrag,fraktion
746,725,724,576,544,528,478,438,402,393


2015-1
land,deutschland,europa,mensch,deutsch,bundesregier,euro,antrag,link,grun
779,692,636,574,480,441,438,428,352,328


2015-2
deutschland,mensch,land,europa,bundesregier,deutsch,antrag,fraktion,grun,gesetz
613,524,517,496,472,424,389,297,293,283


2015-3
europa,land,mensch,deutschland,bundesregier,gesetz,frau,antrag,deutsch,gesetzentwurf
829,787,702,684,674,618,567,535,516,514


2015-4
mensch,land,deutschland,euro,deutsch,bundesregier,gesetzentwurf,gesetz,antrag,europa
424,348,341,293,292,265,238,231,219,218


2015-5
land,deutschland,mensch,europa,bundesregier,antrag,deutsch,fraktion,grun,ausschuss
784,708,656,576,560,476,462,384,358,358


2015-6
europa,mensch,land,deutschland,gesetz,deutsch,antrag,fraktion,bundesregier,euro
802,736,687,590,557,487,458,417,411,383


2015-7
mensch,europa,land,griechenland,deutschland,fraktion,gesetz,antrag,gesetzentwurf,link
680,567,416,412,398,324,320,304,301,260


2015-8
griechenland,europa,regier,programm,euro,land,deutschland,milliard,reform,entscheid
243,124,69,60,56,50,43,38,35,34


2015-9
mensch,land,deutschland,kind,antrag,europa,fluchtling,bundesregier,euro,gesetz
481,387,309,288,287,271,269,249,237,237


2015-10
mensch,land,europa,deutschland,deutsch,antrag,grun,fraktion,fluchtling,ausschuss
699,653,652,605,505,478,443,373,369,361


2015-11
mensch,land,euro,deutschland,million,europa,fluchtling,deutsch,bundesregier,antrag
1292,1214,1135,993,773,771,728,623,594,592


2015-12
europa,deutschland,bundesregier,land,mensch,fraktion,link,antrag,deutsch,grun
638,572,555,543,508,392,391,372,361,357


2016-1
land,deutschland,mensch,antrag,europa,deutsch,bundesregier,polit,gesetz,grun
612,557,488,484,449,433,385,371,371,300


2016-2
land,europa,mensch,deutschland,antrag,deutsch,gesetz,grun,bundesregier,fraktion
748,735,704,614,491,482,444,420,411,356


2016-3
mensch,europa,land,deutschland,antrag,deutsch,gesetzentwurf,gemeinsam,unternehm,euro
425,276,263,212,207,181,181,180,179,170


2016-4
europa,mensch,land,deutschland,antrag,deutsch,bundesregier,gesetzentwurf,link,gesetz
689,662,583,577,477,477,438,364,360,351


2016-5
land,mensch,bundesregier,deutschland,europa,antrag,deutsch,fraktion,gesetz,euro
468,327,319,283,282,216,212,204,193,190


2016-6
mensch,deutschland,deutsch,europa,land,gesetz,antrag,bundesregier,gesetzentwurf,fraktion
1035,938,862,827,825,733,731,687,676,607


2016-7
gesetz,fraktion,bundesregier,europa,gesetzentwurf,mensch,land,antrag,grun,link
320,308,291,288,277,274,261,254,243,240


2016-8
kein Wort wurde mehr als 0 mal gesagt
0


2016-9
mensch,land,euro,deutschland,europa,million,bundesregier,deutsch,milliard,gesetz
1378,1321,1237,985,746,660,658,657,625,608


2016-10
land,antrag,euro,gesetz,mensch,bundesregier,deutschland,ausschuss,gesetzentwurf,grun
376,326,307,307,292,284,261,246,241,234


2016-11
euro,mensch,land,deutschland,million,haushalt,bundesregier,europa,milliard,polit
1226,1067,1026,860,759,684,550,532,529,498


2016-12
mensch,land,gesetz,kind,antrag,deutschland,bundesregier,grun,gesetzentwurf,link
725,679,612,568,550,532,486,471,437,432


2017-1
mensch,land,deutschland,europa,bundesregier,deutsch,gesetz,antrag,ausschuss,fraktion
500,484,461,456,440,375,351,346,322,313


2017-2
land,gesetz,mensch,deutschland,antrag,euro,bundesregier,ausschuss,deutsch,gesetzentwurf
415,318,307,288,273,246,225,222,211,209


2017-3
europa,mensch,land,gesetz,bundesregier,deutschland,ausschuss,gesetzentwurf,antrag,deutsch
1328,1140,1033,962,939,920,798,759,726,665


2017-4
bundesregier,mensch,deutsch,antrag,deutschland,land,krankenhaus,gesetz,jahr,entscheid
141,136,97,95,94,83,81,80,68,63


2017-5
land,bundesregier,mensch,deutschland,ausschuss,fraktion,gesetzentwurf,antrag,grun,europa
490,408,407,399,396,389,346,320,315,306


2017-6
fraktion,ausschuss,deutschland,mensch,antrag,land,grun,beschlussempfehl,bundesregier,deutsch
1339,1137,1126,1116,1112,1112,1087,1008,924,892


2017-7
kein Wort wurde mehr als 0 mal gesagt
0


2017-8
kein Wort wurde mehr als 0 mal gesagt
0


2017-9
land,deutschland,mensch,deutsch,merkel,polit,europa,zukunft,wahl,bundestag
165,104,76,68,62,61,58,50,46,42


2017-10
bundestag,fraktion,wahl,deutsch,antrag,enthalt,afd,sitzung,parlament,geschaftsordn
83,65,60,46,41,31,29,28,28,26


2017-11
deutschland,land,europa,mensch,deutsch,antrag,polit,fraktion,bundesregier,verantwort
334,330,264,261,250,239,195,155,144,132


2017-12
europa,bundesregier,deutschland,deutsch,antrag,polit,mensch,land,link,claudia
450,252,245,244,240,236,203,202,183,172


2018-1
europa,deutschland,mensch,bundesregier,land,deutsch,antrag,staatssekretar,gemeinsam,fraktion
581,425,358,333,330,306,245,236,213,188


2018-2
europa,deutsch,deutschland,bundesregier,mensch,land,antrag,ausschuss,fraktion,afd
919,664,657,633,630,534,502,397,374,373


2018-3
land,mensch,deutschland,deutsch,europa,bundesregier,antrag,euro,fraktion,polit
1055,988,981,839,796,622,560,554,524,515


2018-4
antrag,mensch,deutschland,land,deutsch,europa,bundesregier,ausschuss,fraktion,polit
744,715,627,621,532,520,517,429,382,372


2018-5
euro,haushalt,land,milliard,deutschland,europa,geld,mensch,million,deutsch
895,619,601,550,505,466,465,454,379,330


2018-6
europa,mensch,deutschland,antrag,land,deutsch,fraktion,bundesregier,polit,link
1456,1189,1120,1116,978,931,861,733,693,676


2018-7
euro,haushalt,land,deutschland,mensch,europa,million,milliard,geld,bereich
743,670,633,537,509,423,404,395,376,311


2018-8
kein Wort wurde mehr als 0 mal gesagt
0


2018-9
land,euro,mensch,deutschland,haushalt,europa,million,milliard,bundesregier,polit
1099,787,752,741,530,473,457,429,425,420


2018-10
mensch,land,deutschland,antrag,europa,bundesregier,gesetz,fraktion,euro,gesetzentwurf
1066,849,823,756,733,686,674,610,560,543


2018-11
land,mensch,euro,deutschland,fraktion,bundesregier,deutsch,europa,million,antrag
1474,1444,1435,1419,1125,914,912,886,805,791


2018-12
antrag,mensch,fraktion,land,kind,deutschland,europa,link,deutsch,afd
402,297,294,282,278,275,258,223,216,205


2019-1
europa,antrag,mensch,land,deutschland,deutsch,bundesregier,ausschuss,fraktion,polit
722,682,676,616,602,557,517,452,438,409


2019-2
deutschland,mensch,antrag,europa,bundesregier,land,fraktion,deutsch,ausschuss,polit
977,899,830,801,786,757,655,653,543,493


2019-3
europa,mensch,deutsch,antrag,deutschland,fraktion,land,bundesregier,polit,ausschuss
988,911,783,760,744,629,602,589,449,429


2019-4
europa,deutschland,antrag,mensch,land,deutsch,fraktion,bundesregier,ausschuss,grun
1218,843,826,803,743,634,619,595,534,444


2019-5
europa,mensch,antrag,deutschland,land,deutsch,ausschuss,fraktion,bundesregier,grun
1295,973,951,905,881,744,679,654,571,513


2019-6
mensch,deutschland,land,fraktion,antrag,bundesregier,gesetz,europa,ausschuss,deutsch
886,676,658,567,551,506,470,469,463,444


2019-7
bundeswehr,ministerin,europa,braucht,deutschland,soldat,amt,deutsch,sich,land
86,32,28,27,26,26,21,19,19,18


2019-8
kein Wort wurde mehr als 0 mal gesagt
0


2019-9
euro,land,mensch,deutschland,milliard,haushalt,fraktion,deutsch,bundesregier,geld
924,902,809,769,565,544,522,503,470,460


2019-10
antrag,fraktion,mensch,deutschland,land,ausschuss,bundesregier,deutsch,grun,europa
959,923,897,816,806,776,765,617,549,533


2019-11
fraktion,deutschland,mensch,land,euro,antrag,deutsch,bundesregier,grun,gesetz
1361,1330,1323,1180,1108,1101,902,799,795,782


2019-12
antrag,mensch,fraktion,land,deutschland,deutsch,ausschuss,gesetz,link,afd
1006,879,836,817,767,569,522,520,484,477


2020-1
antrag,mensch,europa,fraktion,deutschland,deutsch,land,bundesregier,ausschuss,grun
847,786,739,727,722,664,609,571,560,519


2020-2
antrag,deutschland,land,mensch,fraktion,deutsch,afd,grun,link,bundesregier
468,408,373,320,315,308,273,253,247,246


2020-3
mensch,antrag,land,fraktion,deutschland,europa,bundesregier,ausschuss,deutsch,link
886,858,817,763,733,701,637,602,507,467


2020-4
europa,fraktion,ausschuss,land,kris,deutschland,antrag,wirtschaft,unternehm,mensch
481,405,369,288,279,271,266,231,229,223


2020-5
fraktion,europa,antrag,mensch,land,ausschuss,deutschland,deutsch,grun,bundesregier
1211,1201,1171,991,958,925,913,829,757,729


2020-6
fraktion,europa,ausschuss,mensch,deutschland,antrag,land,deutsch,euro,berat
612,577,537,475,467,461,443,416,341,316


2020-7
fraktion,antrag,europa,ausschuss,mensch,deutschland,afd,land,link,berat
836,643,554,530,420,415,386,377,370,365


2020-8
kein Wort wurde mehr als 0 mal gesagt
0


2020-9
land,fraktion,deutschland,ausschuss,mensch,europa,antrag,euro,deutsch,nachhalt
1257,1238,1227,1054,1054,1020,1002,974,823,802


2020-10
land,mensch,fraktion,deutschland,antrag,euro,deutsch,ausschuss,gesetz,europa
1149,1114,982,956,945,871,852,742,728,695


2020-11
antrag,mensch,fraktion,deutschland,land,gesetz,ausschuss,bundesregier,deutsch,europa
1199,1148,1127,1037,1001,902,886,826,753,674


2020-12
euro,land,mensch,fraktion,haushalt,deutschland,milliard,antrag,europa,million
1068,739,716,715,712,671,637,521,520,502


2021-1
antrag,fraktion,mensch,ausschuss,land,deutschland,gesetz,europa,deutsch,afd
743,628,554,545,535,533,521,411,393,385


2021-2
mensch,antrag,fraktion,land,ausschuss,deutschland,europa,bundesregier,euro,pandemi
849,758,746,714,605,541,530,479,472,468


2021-3
fraktion,ausschuss,antrag,land,mensch,deutschland,bundesregier,deutsch,gesetz,europa
1246,989,980,921,907,776,741,713,695,653


2021-4
fraktion,antrag,ausschuss,mensch,gesetz,land,grun,deutschland,bundesregier,deutsch
1258,989,911,822,795,772,759,756,662,649


2021-5
fraktion,antrag,ausschuss,beschlussempfehl,grun,gesetz,mensch,deutschland,link,afd
1899,1228,1186,933,920,918,887,833,827,785


2021-6
fraktion,beschlussempfehl,antrag,ausschuss,grun,fdp,link,afd,enthalt,berat
3593,2479,2072,1800,1405,1298,1292,1287,1201,1189


2021-7
kein Wort wurde mehr als 0 mal gesagt
0


2021-8
mensch,fraktion,land,afghanistan,antrag,lag,deutschland,deutsch,polit,einsatz
189,152,147,142,125,111,109,89,88,83


2021-9
land,deutschland,fraktion,mensch,polit,europa,grun,deutsch,jahr,burg
208,149,132,121,95,76,74,73,62,62


2021-10
wahl,bundestag,geschaftsordn,fraktion,afd,parlament,haus,polit,antrag,deutsch
63,59,46,45,43,38,37,36,33,32


2021-11
mensch,land,fraktion,deutschland,grun,gesetzentwurf,massnahm,europa,antrag,lag
252,212,205,181,141,123,122,121,119,118


2021-12
land,mensch,fraktion,deutschland,europa,polit,pandemi,antrag,bundesregier,deutsch
457,356,263,262,231,208,190,185,164,160


2022-1
mensch,land,deutschland,bundesregier,wirtschaft,deutsch,polit,stark,europa,gemeinsam
693,599,468,346,343,326,309,288,284,283


2022-2
mensch,europa,land,deutschland,antrag,fraktion,bundesregier,deutsch,polit,union
438,408,352,332,305,285,281,268,232,204


2022-3
mensch,land,euro,deutschland,ukrain,europa,deutsch,milliard,haushalt,fraktion
1289,1025,978,913,872,602,585,555,551,534


2022-4
mensch,antrag,ukrain,land,deutschland,euro,deutsch,fraktion,europa,bundesregier
817,772,636,614,581,482,408,398,396,393


2022-5
mensch,deutschland,land,euro,antrag,europa,ukrain,fraktion,bundesregier,union
1474,862,856,846,813,714,632,618,577,523


2022-6
mensch,euro,land,deutschland,ukrain,europa,haushalt,deutsch,fraktion,polit
975,969,864,764,677,606,577,571,563,520


2022-7
mensch,land,deutschland,antrag,fraktion,europa,bundesregier,deutsch,ausschuss,euro
550,530,525,431,394,356,337,307,300,264


2022-8
kein Wort wurde mehr als 0 mal gesagt
0


2022-9
land,mensch,euro,deutschland,bundesregier,europa,zeit,milliard,polit,antrag
1693,1632,1487,1385,924,865,841,824,806,768


2022-10
mensch,land,deutschland,antrag,europa,euro,bundesregier,fraktion,gesetz,deutsch
1269,947,800,784,653,648,592,528,492,449


2022-11
kein Wort wurde mehr als 0 mal gesagt
0


2022-12
kein Wort wurde mehr als 0 mal gesagt
0
